molecule_chembl_id,smiles,pIC50,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3969403,CC1(C)C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS1(=O)=O,12.69897000433602,Active,429.47700000000015,2.12408,2.0,7.0
CHEMBL3937515,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,12.045757490560677,Active,435.48100000000017,1.656,2.0,8.0
CHEMBL3949213,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS(=O)(=O)C2(CCCC2)C(N)=N1,12.0,Active,455.5150000000004,2.6582800000000004,2.0,7.0
CHEMBL3955051,CC1(C)C(N)=N[C@](C)(c2cc(NC(=O)c3cnc(C(F)F)cn3)ccc2F)CS1(=O)=O,11.744727494896694,Active,455.46200000000016,2.585000000000001,2.0,7.0
CHEMBL3936264,C[C@@]1(c2cc(NC(=O)c3ccc(OC(F)F)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,11.244125144327509,Active,442.4190000000002,2.0752,2.0,7.0
CHEMBL3958332,C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,11.214670164989233,Active,410.85800000000023,2.1271999999999998,2.0,6.0
CHEMBL3930841,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,11.086186147616283,Active,401.42300000000023,1.3454800000000002,2.0,7.0
CHEMBL3982593,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CSCC(N)=N1,10.958607314841776,Active,369.4250000000002,2.6638800000000007,2.0,6.0
CHEMBL4088234,C[C@@H]1C[C@@](C)(c2cc(CNC3(C(F)(F)F)CC3)c(F)cc2F)N=C(N)S1,10.619788758288394,Active,393.425,4.204600000000003,2.0,4.0
CHEMBL4212046,COc1cccc(NC(=O)c2cnc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)s2)n1,10.481486060122112,Active,419.5320000000001,2.4808,2.0,9.0
CHEMBL4217023,COc1ccc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)cc1,10.468521082957745,Active,418.54400000000015,3.0858000000000008,2.0,8.0
CHEMBL4561849,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)C(C)(C)[S@@]3(=O)=NCC[C@@H]23)c1,10.045757490560677,Active,468.5580000000003,3.258000000000002,2.0,7.0
CHEMBL3680900,CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OC[C@]3(C)F)c2)cn1,10.0,Active,429.4270000000002,2.5584000000000007,2.0,7.0
CHEMBL4203860,COc1cccc(NC(=O)c2cnc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)s2)c1,9.958607314841776,Active,418.5440000000001,3.0858000000000008,2.0,8.0
CHEMBL5863499,C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]34CN(c5ncc(F)cn5)C[C@@H]3CSC(N)=N4)c2)cn1,9.826813731587729,Active,523.5440000000002,3.417600000000001,1.0,9.0
CHEMBL2047041,CC(C)c1cccc(CNC[C@@H](O)[C@@H]2COC/C=C/C[C@H](c3ccccc3)NC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,9.82390874094432,Active,648.8260000000001,3.9025000000000016,4.0,7.0
CHEMBL2177305,CCn1cc([C@]2(c3cccc(NC(=O)c4ccc(Cl)cn4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,9.82390874094432,Active,515.9760000000002,4.627220000000003,2.0,6.0
CHEMBL4564324,CC(F)(F)[C@H]1OC[C@]2(c3cc(NC(=O)c4ccc(C#N)cn4)ccc3F)N=C(N)SC[C@H]12,9.804100347590769,Active,461.46900000000016,3.271680000000001,2.0,7.0
CHEMBL6009196,C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncccn5)C[C@H]3CSC(N)=N4)c2)cn1,9.730487055782085,Active,505.5540000000002,3.278500000000001,1.0,9.0
CHEMBL3260839,CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c(F)cc(-c3ccnc(F)c3)cc12,9.69897000433602,Active,487.4410000000002,4.363900000000002,1.0,6.0
CHEMBL6043173,CC#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(S(C)(=O)=O)C[C@H]43)c2)cn1,9.69897000433602,Active,504.58400000000023,3.5229000000000026,1.0,8.0
